Format,1,,,,,,,,,,,,,,,,,,,,,,,,,
Emerald Version,3.5.5.0,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,G21-9800,,,,,,,,,,,,,,,,,,,,,,,,,
Environment,Emerald,,,,,,,,,,,,,,,,,,,,,,,,,
Test Name,Datafile_Analyser,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,OB,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Channel,System,,,,,,,,,,,,,,,,,,,,,,,,,
Logger Name,Datafile_Analyser,,,,,,,,,,,,,,,,,,,,,,,,,
Profile Name,Datafile_Analyser.ini,,,,,,,,,,,,,,,,,,,,,,,,,
Number Of Tags,24,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Log Rate,30000 ms,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time,2024-06-19 17:38:06,,,,,,,,,,,,,,,,,,,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Current,Current Density,Temp Anode Inlet Set,Temp Anode Inlet,Temp Anode Outlet,Temp cathode Inlet Set,Temp Cathode Inlet,Temp Cathode Outlet,Pressure Anode Set,Pressure Anode Inlet,Pressure Anode Outlet,Pressure Cathode Set,Pressure Cathode Inlet,Pressure Cathode Outlet,Flow Anode DI Water Supply Set,Flow Anode Di Water Supply,Flow Cathode DI Water Supply Set,Flow Cathode Di Water Supply,Signal In Resistivity Anode,Signal In Resistivity Cathode,Signal In H2 In O2 Sensor,Signal In O2 In H2 Sensor,Signal In E Stop
,s,,V,A,A/cm?,?C,°C,°C,?C,°C,°C,barg,barg,barg,barg,barg,barg,LPM,LPM,LPM,LPM,?S/cm,?S/cm,%,%,OFF/ON
Time Stamp,Elapsed Time,File Mark,voltage,current,current_density,temp_anode_inlet_set,temp_anode_inlet,temp_anode_outlet,temp_cathode_inlet_set,temp_cathode_inlet,temp_cathode_outlet,pressure_anode_set,beck.b1.m07.ch3,beck.b1.m07.ch4,pressure_cathode_set,beck.b1.m08.ch1,beck.b1.m08.ch2,flow_anode_di_water_supply_set,flow_anode_di_water_supply,flow_cathode_di_water_supply_set,flow_cathode_di_water_supply,signal_in_resistivity_anode,signal_in_resistivity_cathode,beck.b1.m11.ch1,beck.b1.m11.ch3,signal_in_e_stop
2024-06-19 17:38:30.005,23.917,,-0.009480,0.014370,0.000287,70.000000,33.313202,31.849068,0.000000,25.228203,28.655430,0.000000,-0.018433,-0.019380,0.000000,0.005703,0.000285,0.500000,0.079226,0.000000,0.000000,0.844077,1.185201,-0.400000,10.000000,1.000000
2024-06-19 17:39:00.005,53.917,,-0.010430,0.013300,0.000277,70.000000,36.925392,35.666397,0.000000,25.241484,28.575666,0.000000,0.040524,-0.019380,0.000000,0.005703,0.000285,0.500000,0.369274,0.000000,0.000000,0.805092,1.185201,-0.400000,10.000000,1.000000
2024-06-19 17:39:30.005,83.917,,-0.011380,0.013840,0.000266,70.000000,49.593044,43.219200,0.000000,25.228203,28.549080,0.000000,-0.001588,-0.019380,0.000000,0.005703,-0.008129,0.500000,0.527726,0.000000,0.000000,0.731994,1.185201,-0.400000,10.000000,1.000000
2024-06-19 17:40:00.005,113.917,,-0.012330,0.013300,0.000277,70.000000,54.440155,47.928341,0.000000,25.214920,28.522491,0.000000,-0.018433,-0.019380,0.000000,0.005703,0.000285,0.500000,0.507584,0.000000,0.000000,0.697881,1.185201,-0.400000,10.000000,1.000000
2024-06-19 17:40:30.005,143.917,,-0.012330,0.012770,0.000255,70.000000,58.592991,51.698734,0.000000,25.252092,28.500441,0.000000,-0.018433,-0.019380,0.000000,-0.019581,0.000285,0.500000,0.506241,0.000000,0.000000,0.683262,1.190074,-0.400000,10.000000,1.000000
2024-06-19 17:41:00.005,173.917,,-0.012330,0.012240,0.000245,70.000000,61.780430,54.901581,0.000000,25.262903,28.477461,0.000000,-0.018433,-0.019380,0.000000,-0.019581,0.000285,0.500000,0.496841,0.000000,0.000000,0.678389,1.199821,-0.400000,10.000000,1.000000
2024-06-19 17:41:30.005,203.917,,-0.012330,0.012240,0.000266,70.000000,63.996456,57.244316,0.000000,25.238810,28.407383,0.000000,-0.001588,-0.019380,0.000000,-0.019581,0.000285,0.500000,0.507584,0.000000,0.000000,0.678389,1.190074,-0.400000,10.000000,1.000000
2024-06-19 17:42:00.005,233.917,,-0.011380,0.012240,0.000245,70.000000,64.920387,58.985889,0.000000,25.238810,28.367502,0.000000,-0.001588,-0.019380,0.000000,0.005703,0.000285,0.500000,0.499527,0.000000,0.000000,0.663769,1.190074,-0.400000,10.000000,1.000000
2024-06-19 17:42:30.005,263.917,,-0.011380,0.011700,0.000234,70.000000,65.206337,59.828568,0.000000,25.238810,28.327620,0.000000,-0.001588,-0.019380,0.000000,-0.019581,-0.008129,0.500000,0.507584,0.000000,0.000000,0.663769,1.185201,-0.400000,10.000000,1.000000
2024-06-19 17:43:00.005,293.917,,-0.010430,0.012240,0.000234,70.000000,65.659409,60.557587,0.000000,25.236340,28.278051,0.000000,-0.001588,-0.019380,0.000000,-0.019581,0.000285,0.500000,0.496841,0.000000,0.000000,0.658896,1.180328,-0.400000,10.000000,1.000000
2024-06-19 17:43:30.005,323.917,,-0.010430,0.012240,0.000245,70.000000,66.467529,61.448193,0.000000,25.236340,28.264757,0.000000,-0.001588,-0.019380,0.000000,0.005703,0.000285,0.500000,0.499527,0.000000,0.000000,0.629657,1.180328,-0.400000,10.000000,1.000000
2024-06-19 17:44:00.005,353.917,,-0.010430,0.012240,0.000234,70.000000,67.163757,62.309052,0.000000,25.236340,28.238169,0.000000,-0.001588,-0.019380,0.000000,0.005703,0.000285,0.500000,0.499527,0.000000,0.000000,0.658896,1.185201,-0.400000,10.000000,1.000000
2024-06-19 17:44:30.005,383.917,,-0.010430,0.012240,0.000223,70.000000,67.648628,63.127972,0.000000,25.236340,28.171700,0.000000,0.023679,-0.019380,0.000000,-0.019581,0.000285,0.500000,0.499527,0.000000,0.000000,0.629657,1.185201,-0.400000,10.000000,1.000000
2024-06-19 17:45:00.005,413.917,,-0.009480,0.011170,0.000223,70.000000,68.166237,63.829487,0.000000,25.300074,28.216118,0.000000,-0.001588,-0.019380,0.000000,-0.019581,0.000285,0.500000,0.499527,0.000000,0.000000,0.658896,1.170581,-0.400000,10.000000,1.000000
2024-06-19 17:45:30.005,443.917,,-0.009480,0.011700,0.000223,70.000000,68.504539,64.283012,0.000000,25.249622,28.105230,0.000000,0.023679,-0.019380,0.000000,-0.011153,0.000285,0.500000,0.496841,0.000000,0.000000,0.668642,1.170581,-0.400000,10.000000,1.000000
2024-06-19 17:46:00.005,473.917,,-0.009480,0.011700,0.000234,70.000000,68.919243,64.766800,0.000000,25.262903,28.091936,0.000000,0.023679,-0.019380,0.000000,-0.019581,0.000285,0.500000,0.499527,0.000000,0.000000,0.678389,1.160835,-0.400000,10.000000,1.000000
2024-06-19 17:46:30.006,503.918,,-0.009480,0.012240,0.000245,71.000000,69.294342,65.291565,0.000000,25.313356,28.109768,0.000000,0.023679,-0.019380,0.000000,-0.019581,0.000285,0.500000,0.507584,0.000000,0.000000,0.668642,1.151089,-0.400000,10.000000,1.000000
2024-06-19 17:47:00.005,533.917,,-0.009480,0.012240,0.000245,71.000000,70.160896,65.950691,0.000000,25.249622,28.025467,0.000000,0.023679,-0.019380,0.000000,0.005703,0.000285,0.500000,0.499527,0.000000,0.000000,0.678389,1.160835,-0.400000,10.000000,1.000000
2024-06-19 17:47:30.005,563.917,,-0.009480,0.012240,0.000245,72.000000,70.846687,66.714058,0.000000,25.326637,28.096474,0.000000,0.023679,-0.019380,0.000000,-0.019581,0.000285,0.500000,0.499527,0.000000,0.000000,0.678389,1.160835,-0.400000,10.000000,1.000000
2024-06-19 17:48:00.005,593.917,,-0.009480,0.012240,0.000245,72.000000,71.564926,67.459770,0.000000,25.276184,27.958996,0.000000,0.023679,-0.019380,0.000000,-0.019581,0.000285,0.500000,0.499527,0.000000,0.000000,0.683262,1.131596,-0.400000,10.000000,1.000000
2024-06-19 17:48:30.005,623.917,,-0.009480,0.012240,0.000245,73.000000,72.010963,68.057907,0.000000,25.326637,28.030005,0.000000,0.023679,-0.019380,0.000000,-0.019581,0.000285,0.500000,0.499527,0.000000,0.000000,0.688135,1.160835,-0.400000,10.000000,1.000000
2024-06-19 17:49:00.005,653.917,,-0.009480,0.011170,0.000234,73.000000,72.622803,68.638451,0.000000,25.339920,28.030005,0.000000,0.023679,-0.019380,0.000000,0.005703,0.000285,0.500000,0.496841,0.000000,0.000000,0.688135,1.151089,-0.400000,10.000000,1.000000
2024-06-19 17:49:30.005,683.917,,-0.009480,0.011170,0.000223,74.000000,73.088608,69.119759,0.000000,25.289467,27.932409,0.000000,0.048946,-0.019380,0.000000,0.005703,-0.008129,0.500000,0.499527,0.000000,0.000000,0.697881,1.151089,-0.400000,10.000000,1.000000
