Format,1,,,,,,,
Emerald Version,3.5.5.0,,,,,,,
Station ID,G21-9800,,,,,,,
Environment,Emerald,,,,,,,
Test Name,AN 0BAR, CA 0BAR CV,,,,,,,
User Name,OB,,,,,,,
Comment,CV Logger,,,,,,,
Test Channel,System,,,,,,,
Logger Name,Process_Data,,,,,,,
Profile Name,CV.ini,,,,,,,
Number Of Tags,6,,,,,,,
Initial Log Rate,100 ms,,,,,,,
Start Time,2024-06-20 08:19:20,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Cell Voltage 001,Cell Voltage 002,Gamry-01.Current,Gamry-01.Voltage,Gamry-01.current_density
,s,,V,V,V,A,V,A/cm?
Time Stamp,Elapsed Time,File Mark,voltage,cell_voltage_001,cell_voltage_002,Gamry-01.current,Gamry-01.voltage,Gamry-01.current_density
2024-06-20 08:19:20.105,0.000,,1.338150,-0.000191,0.000190,-0.051769,1.349925,-0.001035
2024-06-20 08:19:20.205,0.100,,1.338150,0.000000,0.000381,0.054258,1.349962,0.001085
2024-06-20 08:19:20.305,0.200,,1.338150,0.000000,0.000190,0.009671,1.349937,0.000193
2024-06-20 08:19:20.405,0.300,,1.339100,0.000000,0.000000,-0.006833,1.349971,-0.000137
2024-06-20 08:19:20.505,0.400,,1.338150,0.000000,0.000381,-0.006833,1.349971,-0.000137
2024-06-20 08:19:20.605,0.500,,1.338150,0.000000,0.000381,-0.006833,1.349971,-0.000137
2024-06-20 08:19:20.705,0.600,,1.333410,0.000000,0.000381,-0.010322,1.349808,-0.000137
2024-06-20 08:19:20.805,0.700,,1.328660,0.000000,0.000190,-1.834286,1.344876,-0.000206
2024-06-20 08:19:20.905,0.800,,1.323920,0.000191,0.000000,-2.438317,1.339913,-0.036686
2024-06-20 08:19:21.005,0.900,,1.318230,0.000191,0.000381,-2.634723,1.334930,-0.048766
2024-06-20 08:19:21.105,1.000,,1.313490,0.000000,0.000190,-2.728981,1.329937,-0.052694
2024-06-20 08:19:21.205,1.100,,1.308750,0.000000,0.000190,-2.761300,1.324918,-0.054580
2024-06-20 08:19:21.305,1.200,,1.303060,0.000000,0.000381,-2.845472,1.314979,-0.055226
2024-06-20 08:19:21.405,1.300,,1.298320,0.000000,0.000190,-2.845472,1.314979,-0.056909
2024-06-20 08:19:21.505,1.400,,1.293580,-0.000191,0.000381,-2.867887,1.309943,-0.056909
2024-06-20 08:19:21.605,1.500,,1.287880,0.000000,0.000000,-2.852640,1.305018,-0.057358
2024-06-20 08:19:21.705,1.600,,1.283140,0.000000,0.000381,-2.809942,1.299974,-0.056199
2024-06-20 08:19:21.805,1.700,,1.278400,0.000000,0.000571,-2.847738,1.295041,-0.056199
