Format,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerald Version,3.5.5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,G21-9800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environment,Emerald,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Name,CYCLE 1 ~ AN 2BAR 80C, CA 28.5BAR ~ Current Polar Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,OB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,Constant Current Polarisation Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Channel,System,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logger Name,Process_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile Name,Gen2PolarCurve.ini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number Of Tags,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Log Rate,2000 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time,2024-06-21 04:40:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Current,Current Density,Temp Anode Inlet Set,Temp Anode Inlet,Temp Anode Outlet,Temp cathode Inlet Set,Temp Cathode Inlet,Temp Cathode Outlet,Pressure Anode Set,Pressure Anode Inlet,Pressure Anode Outlet,Pressure Cathode Set,Pressure Cathode Inlet,Pressure Cathode Outlet,Flow Anode DI Water Supply Set,Flow Anode Di Water Supply,Flow Cathode DI Water Supply Set,Flow Cathode Di Water Supply,Signal In Resistivity Anode,Signal In Resistivity Cathode,Signal In H2 In O2 Sensor,Signal In O2 In H2 Sensor,Gamry-01.Voltage,Gamry-01.Current,Gamry-01.current_density,Signal In E Stop
,s,,V,A,A/cm?,?C,°C,°C,?C,°C,°C,barg,barg,barg,barg,barg,barg,LPM,LPM,LPM,LPM,?S/cm,?S/cm,%,%,V,A,A/cm?,OFF/ON
Time Stamp,Elapsed Time,File Mark,voltage,current,current_density,temp_anode_inlet_set,temp_anode_inlet,temp_anode_outlet,temp_cathode_inlet_set,temp_cathode_inlet,temp_cathode_outlet,pressure_anode_set,pressure_anode_inlet,beck.b1.m07.ch4,pressure_cathode_set,pressure_cathode_inlet,pressure_cathode_outlet,flow_anode_di_water_supply_set,flow_anode_di_water_supply,flow_cathode_di_water_supply_set,flow_cathode_di_water_supply,signal_in_resistivity_anode,signal_in_resistivity_cathode,signal_in_h2_in_o2_sensor,signal_in_o2_in_h2_sensor,Gamry-01.voltage,Gamry-01.current,Gamry-01.current_density,signal_in_e_stop
2024-06-21 04:40:58.005,1.893,,1.824660,150.007220,3.000144,80.000000,79.722488,79.574699,0.000000,25.597101,49.979839,2.000000,2.011361,1.910393,28.500000,28.515272,28.477019,0.500000,0.499527,0.000000,0.000000,0.590671,1.326524,0.307834,0.351573,1.837541,-0.004107,-0.000076,1.000000
2024-06-21 04:41:00.005,3.893,,1.824660,150.007220,3.000144,80.000000,79.734703,79.599022,0.000000,25.597101,50.068569,2.000000,2.011361,1.927247,28.500000,28.481560,28.451780,0.500000,0.499527,0.000000,0.000000,0.585798,1.311904,0.307834,0.356456,1.837589,-0.003991,-0.000078,1.000000
2024-06-21 04:41:02.006,5.894,,1.824660,150.007220,3.000144,80.000000,79.722488,79.611183,0.000000,25.597101,49.548870,2.000000,2.011361,1.935674,28.500000,28.506844,28.477019,0.500000,0.499527,0.000000,0.000000,0.590671,1.316777,0.307834,0.351573,1.837635,-0.003970,-0.000076,1.000000
2024-06-21 04:41:04.005,7.893,,1.824660,150.001880,3.000038,80.000000,79.746910,79.623344,0.000000,25.597101,50.296730,2.000000,2.011361,1.927247,28.500000,28.481560,28.443366,0.500000,0.499527,0.000000,0.000000,0.585798,1.316777,0.307834,0.356456,1.837642,-0.003885,-0.000082,1.000000
2024-06-21 04:41:06.005,9.893,,1.825610,150.007220,3.000038,80.000000,79.746910,79.659821,0.000000,25.597101,50.423485,2.000000,2.011361,1.927247,28.500000,28.481560,28.451780,0.500000,0.499527,0.000000,0.000000,0.585798,1.316777,0.307834,0.351573,1.837741,-0.003843,-0.000077,1.000000
2024-06-21 04:41:08.005,11.893,,1.825610,150.007220,3.000144,80.000000,79.759117,79.647667,0.000000,25.597101,49.789707,2.000000,2.011361,1.935674,28.500000,28.506844,28.468606,0.500000,0.499527,0.000000,0.000000,0.590671,1.316777,0.307834,0.351573,1.837792,-0.003779,-0.000076,1.000000
2024-06-21 04:41:10.005,13.893,,1.825610,150.007220,3.000144,80.000000,79.771324,79.611183,0.000000,25.597101,50.296730,2.000000,1.994516,1.910393,28.500000,28.515272,28.451780,0.500000,0.499527,0.000000,0.000000,0.585798,1.316777,0.309397,0.351573,1.837824,-0.003705,-0.000077,1.000000
2024-06-21 04:41:12.006,15.894,,1.825610,150.007220,3.000144,80.000000,79.771324,79.599022,0.000000,25.597101,50.068569,2.000000,2.011361,1.910393,28.500000,28.506844,28.468606,0.500000,0.499527,0.000000,0.000000,0.590671,1.311904,0.307834,0.351573,1.837846,-0.003790,-0.000074,1.000000
2024-06-21 04:41:14.005,17.893,,1.825610,149.953830,2.999077,80.000000,79.746910,79.623344,0.000000,25.597101,50.093922,2.000000,2.011361,1.885112,28.500000,28.506844,28.477019,0.500000,0.499527,0.000000,0.000000,0.585798,1.311904,0.307834,0.351573,1.837879,-0.003853,-0.000076,1.000000
2024-06-21 04:41:16.005,19.893,,1.825610,150.007220,3.000144,80.000000,79.771324,79.635506,0.000000,25.597101,50.005192,2.000000,2.011361,1.910393,28.500000,28.481560,28.451780,0.500000,0.499527,0.000000,0.000000,0.576052,1.326524,0.307834,0.351573,1.837932,-0.003970,-0.000079,1.000000
2024-06-21 04:41:18.005,21.893,,1.825610,150.007220,3.000144,80.000000,79.746910,79.635506,0.000000,25.597101,50.043217,2.000000,2.011361,1.910393,28.500000,28.489988,28.451780,0.500000,0.499527,0.000000,0.000000,0.590671,1.311904,0.307834,0.351573,1.837946,-0.003917,-0.000078,1.000000
2024-06-21 04:41:20.005,23.893,,1.825610,150.007220,3.000144,80.000000,79.759117,79.635506,0.000000,25.597101,50.436161,2.000000,2.011361,1.935674,28.500000,28.481560,28.451780,0.500000,0.499527,0.000000,0.000000,0.585798,1.316777,0.307834,0.356456,1.838113,-0.004001,-0.000080,1.000000
2024-06-21 04:41:22.005,25.893,,1.825610,150.007220,3.000144,80.000000,79.746910,79.647667,0.000000,25.597101,50.157299,2.000000,2.011361,1.910393,28.500000,28.489988,28.451780,0.500000,0.507584,0.000000,0.000000,0.590671,1.316777,0.307834,0.351573,1.838167,-0.003800,-0.000076,1.000000
2024-06-21 04:41:24.006,27.894,,1.825610,150.007220,3.000144,80.000000,79.759117,79.635506,0.000000,25.597101,50.372784,2.000000,1.994516,1.910393,28.500000,28.489988,28.468606,0.500000,0.499527,0.000000,0.000000,0.585798,1.326524,0.307834,0.351573,1.838087,-0.003917,-0.000078,1.000000
2024-06-21 04:41:26.005,29.893,,1.825610,150.001880,3.000038,80.000000,79.746910,79.623344,0.000000,25.597101,50.347431,2.000000,2.011361,1.910393,28.500000,28.489988,28.451780,0.500000,0.507584,0.000000,0.000000,0.585798,1.331397,0.307834,0.351573,1.838177,-0.003748,-0.000075,1.000000
2024-06-21 04:41:28.006,31.894,,1.825610,150.007220,3.000144,80.000000,79.759117,79.611183,0.000000,25.597101,49.840408,2.000000,1.994516,1.910393,28.500000,28.481560,28.451780,0.500000,0.499527,0.000000,0.000000,0.590671,1.326524,0.307834,0.351573,1.838249,-0.003758,-0.000080,1.000000
2024-06-21 04:41:30.005,33.893,,1.825610,150.001880,3.000038,80.000000,79.795746,79.635506,0.000000,25.597101,50.702351,2.000000,2.011361,1.935674,28.500000,28.481560,28.451780,0.500000,0.499527,0.000000,0.000000,0.585798,1.326524,0.307834,0.356456,1.838254,-0.003864,-0.000076,1.000000
2024-06-21 04:41:32.005,35.893,,1.825610,149.948490,2.998970,80.000000,79.746910,79.635506,0.000000,25.597101,50.030544,2.000000,2.011361,1.885112,28.500000,28.506844,28.451780,0.500000,0.499527,0.000000,0.000000,0.585798,1.311904,0.307834,0.356456,1.838296,-0.004096,-0.000078,1.000000
2024-06-21 04:41:34.006,37.894,,1.825610,150.001880,3.000038,80.000000,79.759117,79.659821,0.000000,25.597101,50.778404,2.000000,2.011361,1.910393,28.500000,28.489988,28.468606,0.500000,0.499527,0.000000,0.000000,0.576052,1.326524,0.307834,0.351573,1.838373,-0.004001,-0.000076,1.000000
2024-06-21 04:41:36.005,39.893,,1.826560,150.001880,3.000038,80.000000,79.771324,79.684143,0.000000,25.597101,50.512215,2.000000,2.011361,1.910393,28.500000,28.506844,28.510672,0.500000,0.499527,0.000000,0.000000,0.590671,1.316777,0.307834,0.351573,1.838520,-0.004117,-0.000081,1.000000
