Format,1,,,,,,,
Emerald Version,3.5.5.0,,,,,,,
Station ID,G21-9800,,,,,,,
Environment,Emerald,,,,,,,
Test Name,CYCLE 2 ~ AN 4BAR 80C, CA 28.5BAR CV,,,,,,,
User Name,OB,,,,,,,
Comment,CV Logger,,,,,,,
Test Channel,System,,,,,,,
Logger Name,Process_Data,,,,,,,
Profile Name,CV.ini,,,,,,,
Number Of Tags,6,,,,,,,
Initial Log Rate,100 ms,,,,,,,
Start Time,2024-06-22 02:52:29,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Cell Voltage 001,Cell Voltage 002,Gamry-01.Current,Gamry-01.Voltage,Gamry-01.current_density
,s,,V,V,V,A,V,A/cm?
Time Stamp,Elapsed Time,File Mark,voltage,cell_voltage_001,cell_voltage_002,Gamry-01.current,Gamry-01.voltage,Gamry-01.current_density
2024-06-22 02:52:29.805,0.006,,1.338150,-0.000381,0.000381,1.698389,1.349883,0.033968
2024-06-22 02:52:29.905,0.106,,1.338150,-0.000381,0.000381,1.681931,1.349750,0.033639
2024-06-22 02:52:30.005,0.206,,1.333410,-0.000191,0.000190,0.946136,1.344704,0.033639
2024-06-22 02:52:30.105,0.306,,1.327720,-0.000191,0.000000,0.743014,1.339786,0.014860
2024-06-22 02:52:30.205,0.406,,1.322970,-0.000381,0.000381,0.648410,1.334743,0.012968
2024-06-22 02:52:30.305,0.506,,1.318230,-0.000191,0.000381,0.590960,1.329782,0.011819
2024-06-22 02:52:30.405,0.606,,1.312540,-0.000381,0.000381,0.551193,1.324781,0.011819
2024-06-22 02:52:30.505,0.706,,1.307800,-0.000191,0.000190,0.520877,1.319827,0.010418
2024-06-22 02:52:30.605,0.806,,1.303060,0.000000,0.000190,0.496345,1.314801,0.009927
2024-06-22 02:52:30.705,0.906,,1.298320,-0.000381,0.000000,0.478770,1.309850,0.009927
2024-06-22 02:52:30.805,1.006,,1.293580,-0.000191,0.000000,0.462682,1.304855,0.009254
2024-06-22 02:52:30.905,1.106,,1.287880,-0.000191,0.000190,0.450033,1.299886,0.009001
2024-06-22 02:52:31.005,1.206,,1.283140,-0.000381,0.000381,0.437706,1.294823,0.009001
2024-06-22 02:52:31.105,1.306,,1.278400,-0.000191,0.000381,0.427245,1.289842,0.008545
2024-06-22 02:52:31.205,1.406,,1.267970,-0.000381,0.000190,0.418763,1.284838,0.008375
2024-06-22 02:52:31.305,1.506,,1.263230,0.000000,0.000571,0.410186,1.279854,0.008204
2024-06-22 02:52:31.405,1.606,,1.258490,0.000000,0.000381,0.402044,1.274775,0.008041
2024-06-22 02:52:31.505,1.706,,1.252800,-0.000191,0.000190,0.394692,1.269831,0.007894
