Format,1,,,,,,,
Emerald Version,3.5.5.0,,,,,,,
Station ID,G21-9800,,,,,,,
Environment,Emerald,,,,,,,
Test Name,CYCLE 3 ~ AN 6BAR 80C, CA 28.5BAR CV,,,,,,,
User Name,OB,,,,,,,
Comment,CV Logger,,,,,,,
Test Channel,System,,,,,,,
Logger Name,Process_Data,,,,,,,
Profile Name,CV.ini,,,,,,,
Number Of Tags,6,,,,,,,
Initial Log Rate,100 ms,,,,,,,
Start Time,2024-06-24 19:20:34,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Cell Voltage 001,Cell Voltage 002,Gamry-01.Current,Gamry-01.Voltage,Gamry-01.current_density
,s,,V,V,V,A,V,A/cm?
Time Stamp,Elapsed Time,File Mark,voltage,cell_voltage_001,cell_voltage_002,Gamry-01.current,Gamry-01.voltage,Gamry-01.current_density
2024-06-24 19:20:34.805,0.009,,1.339100,-0.000763,0.000190,0.122386,1.349970,0.001272
2024-06-24 19:20:34.905,0.109,,1.338150,-0.000763,0.000571,0.067624,1.349986,0.002448
2024-06-24 19:20:35.005,0.209,,1.339100,-0.000763,0.000190,0.067624,1.349986,0.001352
2024-06-24 19:20:35.105,0.309,,1.338150,-0.000763,0.000381,0.067624,1.349986,0.001352
2024-06-24 19:20:35.205,0.409,,1.338150,-0.000763,0.000190,0.067624,1.349986,0.001352
2024-06-24 19:20:35.305,0.509,,1.333410,-0.000954,0.000000,-0.733586,1.344800,0.001352
2024-06-24 19:20:35.405,0.609,,1.328660,-0.000763,0.000381,-0.733586,1.344800,-0.014672
2024-06-24 19:20:35.506,0.710,,1.323920,-0.000763,0.000000,-0.847137,1.339873,-0.016943
2024-06-24 19:20:35.605,0.809,,1.318230,-0.000572,0.000000,-0.941893,1.329861,-0.016943
2024-06-24 19:20:35.705,0.909,,1.312540,-0.000763,0.000000,-0.941893,1.329861,-0.018838
2024-06-24 19:20:35.805,1.009,,1.307800,-0.000572,0.000000,-0.930343,1.324865,-0.018838
2024-06-24 19:20:35.905,1.109,,1.303060,-0.000763,0.000190,-0.974430,1.314892,-0.018607
2024-06-24 19:20:36.005,1.209,,1.298320,-0.000763,0.000190,-0.974430,1.314892,-0.019489
2024-06-24 19:20:36.105,1.309,,1.293580,-0.000572,0.000190,-0.977256,1.309894,-0.019489
2024-06-24 19:20:36.205,1.409,,1.287880,-0.000954,0.000381,-0.970784,1.299922,-0.019545
2024-06-24 19:20:36.305,1.509,,1.283140,-0.000572,0.000190,-0.970784,1.299922,-0.019416
2024-06-24 19:20:36.405,1.609,,1.278400,-0.000954,0.000000,-0.981855,1.289912,-0.019416
