Format,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerald Version,3.5.5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,G21-9800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environment,Emerald,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Name,CYCLE 3 ~ AN 6BAR 80C, CA 28.5BAR ~ Current Polar Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,OB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,Constant Current Polarisation Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Channel,System,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logger Name,Process_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile Name,Gen2PolarCurve.ini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number Of Tags,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Log Rate,2000 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time,2024-06-24 18:02:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Current,Current Density,Temp Anode Inlet Set,Temp Anode Inlet,Temp Anode Outlet,Temp cathode Inlet Set,Temp Cathode Inlet,Temp Cathode Outlet,Pressure Anode Set,Pressure Anode Inlet,Pressure Anode Outlet,Pressure Cathode Set,Pressure Cathode Inlet,Pressure Cathode Outlet,Flow Anode DI Water Supply Set,Flow Anode Di Water Supply,Flow Cathode DI Water Supply Set,Flow Cathode Di Water Supply,Signal In Resistivity Anode,Signal In Resistivity Cathode,Signal In H2 In O2 Sensor,Signal In O2 In H2 Sensor,Gamry-01.Voltage,Gamry-01.Current,Gamry-01.current_density,Signal In E Stop
,s,,V,A,A/cm?,?C,°C,°C,?C,°C,°C,barg,barg,barg,barg,barg,barg,LPM,LPM,LPM,LPM,?S/cm,?S/cm,%,%,V,A,A/cm?,OFF/ON
Time Stamp,Elapsed Time,File Mark,voltage,current,current_density,temp_anode_inlet_set,temp_anode_inlet,temp_anode_outlet,temp_cathode_inlet_set,temp_cathode_inlet,temp_cathode_outlet,pressure_anode_set,pressure_anode_inlet,beck.b1.m07.ch4,pressure_cathode_set,pressure_cathode_inlet,pressure_cathode_outlet,flow_anode_di_water_supply_set,flow_anode_di_water_supply,flow_cathode_di_water_supply_set,flow_cathode_di_water_supply,signal_in_resistivity_anode,signal_in_resistivity_cathode,signal_in_h2_in_o2_sensor,signal_in_o2_in_h2_sensor,Gamry-01.voltage,Gamry-01.current,Gamry-01.current_density,signal_in_e_stop
2024-06-24 18:02:18.005,1.212,,1.683350,150.007220,3.000144,80.000000,80.006386,78.799530,0.000000,26.649719,67.119194,0.000000,0.158437,0.039609,0.000000,0.005703,0.000285,0.500000,0.507584,0.000000,0.000000,0.537066,1.131596,0.237519,0.341807,1.695809,-0.003843,-0.000077,1.000000
2024-06-24 18:02:20.005,3.212,,1.683350,150.007220,3.000144,80.000000,79.981964,78.787369,0.000000,26.649719,67.230545,0.000000,0.158437,0.039609,0.000000,0.005703,0.000285,0.500000,0.499527,0.000000,0.000000,0.532193,1.141342,0.234394,0.346690,1.695840,-0.003663,-0.000076,1.000000
2024-06-24 18:02:22.005,5.212,,1.683350,150.007220,3.000144,80.000000,79.984047,78.783882,0.000000,26.700172,67.234764,0.000000,0.133170,0.039609,0.000000,0.005703,0.000285,0.500000,0.490127,0.000000,0.000000,0.537066,1.126723,0.234394,0.341807,1.695888,-0.003779,-0.000076,1.000000
2024-06-24 18:02:24.005,7.212,,1.683350,150.007220,3.000144,80.000000,79.945335,78.763046,0.000000,26.649719,67.131569,0.000000,0.158437,0.039609,0.000000,0.022559,0.000285,0.500000,0.490127,0.000000,0.000000,0.537066,1.141342,0.239082,0.341807,1.695903,-0.003779,-0.000076,1.000000
2024-06-24 18:02:26.005,9.212,,1.683350,150.007220,3.000144,80.000000,79.957550,78.763046,0.000000,26.649719,67.205795,0.000000,0.158437,0.039609,0.000000,0.005703,0.000285,0.500000,0.507584,0.000000,0.000000,0.532193,1.141342,0.237519,0.341807,1.695937,-0.003758,-0.000075,1.000000
2024-06-24 18:02:28.005,11.212,,1.683350,150.001880,3.000038,80.000000,79.969757,78.750893,0.000000,26.649719,67.181053,0.000000,0.158437,0.039609,0.000000,0.022559,-0.008129,0.500000,0.499527,0.000000,0.000000,0.537066,1.141342,0.237519,0.341807,1.695887,-0.003769,-0.000075,1.000000
2024-06-24 18:02:30.005,13.212,,1.683350,150.007220,3.000144,80.000000,80.008469,78.771721,0.000000,26.700172,67.197647,0.000000,0.133170,0.014328,0.000000,0.005703,0.000285,0.500000,0.507584,0.000000,0.000000,0.527320,1.131596,0.237519,0.341807,1.695899,-0.003748,-0.000075,1.000000
2024-06-24 18:02:32.005,15.212,,1.684300,150.007220,3.000144,80.000000,79.996262,78.820366,0.000000,26.700172,67.222389,0.000000,0.158437,0.056463,0.000000,0.005703,0.000285,0.500000,0.490127,0.000000,0.000000,0.537066,1.126723,0.237519,0.341807,1.695888,-0.003832,-0.000076,1.000000
2024-06-24 18:02:34.005,17.212,,1.683350,150.007220,3.000144,80.000000,79.957550,78.787369,0.000000,26.649719,67.255287,0.000000,0.133170,0.039609,0.000000,0.022559,0.000285,0.500000,0.499527,0.000000,0.000000,0.527320,1.131596,0.237519,0.341807,1.695980,-0.004086,-0.000075,1.000000
2024-06-24 18:02:36.005,19.212,,1.683350,150.007220,3.000144,80.000000,79.971840,78.759567,0.000000,26.700172,67.284256,0.000000,0.158437,0.022755,0.000000,0.005703,0.000285,0.500000,0.499527,0.000000,0.000000,0.532193,1.141342,0.237519,0.341807,1.695975,-0.003832,-0.000075,1.000000
2024-06-24 18:02:38.005,21.212,,1.683350,149.953830,2.999077,80.000000,79.996262,78.808205,0.000000,26.700172,67.296623,0.000000,0.158437,0.039609,0.000000,-0.011153,0.000285,0.500000,0.507584,0.000000,0.000000,0.532193,1.126723,0.234394,0.341807,1.695976,-0.003769,-0.000075,1.000000
2024-06-24 18:02:40.005,23.212,,1.683350,149.953830,2.999077,80.000000,79.981964,78.763046,0.000000,26.649719,67.280029,0.000000,0.133170,0.022755,0.000000,0.022559,0.000285,0.500000,0.499527,0.000000,0.000000,0.532193,1.126723,0.234394,0.339366,1.696010,-0.003737,-0.000075,1.000000
2024-06-24 18:02:42.005,25.212,,1.683350,150.001880,3.000144,80.000000,79.996262,78.783882,0.000000,26.700172,67.333740,0.000000,0.133170,0.014328,0.000000,0.005703,-0.008129,0.500000,0.499527,0.000000,0.000000,0.537066,1.141342,0.237519,0.339366,1.696014,-0.003800,-0.000076,1.000000
2024-06-24 18:02:44.005,27.212,,1.683350,150.007220,3.000144,80.000000,79.981964,78.750893,0.000000,26.649719,67.403748,0.000000,0.133170,0.039609,0.000000,0.005703,0.000285,0.500000,0.499527,0.000000,0.000000,0.527320,1.126723,0.237519,0.339366,1.695978,-0.003822,-0.000077,1.000000
2024-06-24 18:02:46.005,29.212,,1.684300,150.007220,3.000144,80.000000,80.008469,78.771721,0.000000,26.700172,67.358482,0.000000,0.133170,0.039609,0.000000,0.005703,0.000285,0.500000,0.507584,0.000000,0.000000,0.532193,1.151089,0.237519,0.339366,1.695978,-0.003853,-0.000076,1.000000
2024-06-24 18:02:48.005,31.212,,1.683350,150.007220,3.000144,80.000000,80.008469,78.796043,0.000000,26.700172,67.445091,0.000000,0.133170,0.039609,0.000000,0.022559,0.000285,0.500000,0.499527,0.000000,0.000000,0.537066,1.141342,0.234394,0.339366,1.695964,-0.003769,-0.000079,1.000000
2024-06-24 18:02:50.005,33.212,,1.683350,150.007220,3.000144,80.000000,80.025772,78.796043,0.000000,26.700172,67.581184,0.000000,0.158437,0.039609,0.000000,0.022559,0.000285,0.500000,0.499527,0.000000,0.000000,0.532193,1.131596,0.237519,0.339366,1.696010,-0.003843,-0.000077,1.000000
2024-06-24 18:02:52.005,35.212,,1.684300,150.007220,3.000144,80.000000,80.025772,78.796043,0.000000,26.700172,67.506950,0.000000,0.133170,0.039609,0.000000,0.022559,-0.008129,0.500000,0.499527,0.000000,0.000000,0.537066,1.131596,0.234394,0.339366,1.696014,-0.003832,-0.000077,1.000000
2024-06-24 18:02:54.005,37.212,,1.684300,150.007220,3.000144,80.000000,80.025772,78.783882,0.000000,26.700172,67.494576,0.000000,0.158437,0.022755,0.000000,0.005703,0.000285,0.500000,0.507584,0.000000,0.000000,0.532193,1.141342,0.237519,0.339366,1.695962,-0.003790,-0.000076,1.000000
2024-06-24 18:02:56.005,39.212,,1.683350,150.007220,3.000144,80.000000,80.036743,78.820366,0.000000,26.700172,67.544067,0.000000,0.133170,0.022755,0.000000,0.022559,0.025524,0.500000,0.499527,0.000000,0.000000,0.537066,1.131596,0.234394,0.336924,1.695963,-0.003811,-0.000076,1.000000
